name,sub_name,score,price,labels,introduction,address
Andy's Garage,,3.5,$51-100,美國菜/墨西哥菜/酒吧,,大坑新村街14A號地舖
Brickhouse,,3.5,$101-200,墨西哥菜/無肉餐單,隱身於蘭桂坊後巷的墨西哥餐廳。提供各式小吃及雞尾酒，適合朋友聚會。,中環蘭桂坊德己立街20A號地下
Chino,,3.5,$201-400,墨西哥菜,,西環堅彌地城新海旁1B-1C號地舖
榮哥廚房私房菜,,4,$201-400,粵菜 (廣東)/多國菜/中菜館/私房菜,,觀塘觀塘道436-484號官塘工業中心3期4樓L室
炊豕店,,4,$50以下,港式/台灣菜/小食店,炊豕店主打豬扒，豬扒炸成金黃色份外酥脆，再加上秘製醫汁，色香味俱全。,銅鑼灣加路連山道11號地下
樂天皇朝,Paradise Dynasty,4,$101-200,粵菜 (廣東)/滬菜 (上海)/中式包點/中菜館,來自新加坡的餐廳，招牌的八色小籠包的外皮採用全天然色素製作，有創意之餘又可安心享用。,銅鑼灣波斯富街99號利舞臺廣場6樓
名館,Ming Bistro,4,$101-200,粵菜 (廣東)/滬菜 (上海)/點心/中菜館,摩登中菜館，點心賣相精緻，麻雀造型甜品更廣受大眾歡迎。,中環擺花街1-7號1號廣場1樓
名館,Ming Bistro,4,$101-200,粵菜 (廣東)/滬菜 (上海)/點心/中菜館,新派中菜館，以廣東菜及上海菜為主，加入西式食材而保留傳統做法。,銅鑼灣軒尼詩道500號希慎廣場14樓1401號舖
養心殿台式養生鍋,,4,$201-400,台灣菜/火鍋,麻辣拼酸菜白肉鍋是人氣湯底之選。裝修走古樸風，木屏風及鏤空雕花的隔格， 有私隱度同時亦保留空間感。少見配料有飛機直送蔬菜，自家製水餃和手打丸。,銅鑼灣軒尼詩道418號至430號友光大廈3樓全層
滾得囍宮廷火鍋小炒,Big Boils Club,4.5,$201-400,粵菜 (廣東)/港式/火鍋,走華麗宮廷風的火鍋店。推介四川麻辣湯底火鍋及手打丸拼盤。,北角馬寶道33號馬寶學林1樓116-125號舖
Check-In Taipei,,4,$101-200,台灣菜/台式飲品/酒吧/茶館,,中環蘇豪荷李活道27號地舖
麻辣派對,Chili Party,4,$101-200,川菜 (四川)/中菜館,以時尚四川菜式為主打，派對情調裝潢，有別於一般川菜館。店主曾獲四川學藝，煮法地道，菜式分為水煮、香辣及酸辣類，可以自選配料作配搭。,銅鑼灣記利佐治街1號金百利廣場4樓R1號舖
酒鍋,The Drunken Pot,4,$201-400,粵菜 (廣東)/火鍋/海鮮/點心/中式包點,,銅鑼灣登龍街18號V Point 27樓
101手工涮涮鍋,101 Grill Bar + Hot Pot,4.5,$201-400,台灣菜/火鍋,擁維港景色的任食火鍋店，除各式海鮮及肉類外，酒精飲品也是任飲的。餐廳另設露台企位，十分有情調。,銅鑼灣登龍街1-29號金朝陽中心2期29樓全層
唐宮小聚,Social Place,4,$101-200,粵菜 (廣東)/點心/中菜館,主打摩登點心的中菜館，讓客人可在舒適自在的環境中品嚐時尚健康的中菜。,中環皇后大道中139號 The L. Place 2樓
玉桃軒酒家,The Graces Restaurant,4,$101-200,粵菜 (廣東)/點心/中菜館/酒樓,提供多元化精美點心、晚飯小菜及精選套餐。,銅鑼灣波斯富街99號利舞臺廣場20樓
一番風味,Crabtain Restaurant,4,$101-200,粵菜 (廣東)/中菜館,以懷舊粵菜及海鮮菜式馳名的中菜館，裝修亦以舊香港風貌為主。招牌菜式為蟹粥，當中加入不少蟹膏，味道鮮甜。,灣仔灣仔道138號明豐大廈地舖
古早味台灣原味,Old Time Flavor,4,$51-100,台灣菜/台式飲品/茶館,,銅鑼灣駱克道491-499號京都廣場5樓
漁火海鮮刺身火鍋,,4.5,$201-400,粵菜 (廣東)/火鍋/海鮮,以滋潤燉湯作為主打的火鍋店，亦有提供多款新鮮刺身，如加拿大野生象拔蚌。,銅鑼灣駱克道491-499號京都廣場8樓
粵,YUÈ,4,$201-400,粵菜 (廣東)/點心/中菜館/酒樓/酒店餐廳/咪嘥嘢食店,"「粵」是城中熱門粵菜餐廳，擁有經驗豐富的廚師團隊。於2012年，榮膺米芝蓮一星餐廳評級。秉承傳統手工粵菜技巧，「粵」選用新鮮食材，務求做到菜式精緻、味美與健康。菜式「雪嶺紅梅映松露」，更榮獲由香港旅遊發展局主辦的「2010美食之最大賞」至高榮譽金獎。
「粵」環境優雅瑰麗，特設四至六人休閒廂座，適合知己暢聚。另有半開放式水晶玻璃貴賓廳及獨立貴賓廳可供選擇。偌大主廳可靈活間隔成私人宴會廳，適合舉行各類大小宴會、婚宴、商務會議及座談會等。",北角城市花園道9號城市花園酒店1樓
紫粵軒,Tze Yuet Heen,3.5,$201-400,粵菜 (廣東)/火鍋/中菜館/酒店餐廳,,將軍澳唐德街3號香港九龍東皇冠假日酒店2樓
玉桃軒酒家,The Graces Restaurant,4,$101-200,粵菜 (廣東)/點心/中菜館/酒樓,,太古康山道1-2號康怡廣場北座M樓M1號舖
煮打菜打冷小菜館,Chef Recommendation Restaurant,4,$51-100,潮州菜/中菜館/咪嘥嘢食店,有小炒也有潮式打冷，招牌菜籠仔荷香蒸以竹籠、荷葉墊底，再加配料，香味十足。,筲箕灣南康街18號康華大廈地下1號舖
中華滙館,Restaurant de Chine,4.5,$401-800,粵菜 (廣東)/京川滬/湯品/點心/中菜館,,中環士丹利街13號地舖
飲茶,Yum Cha,3.5,$101-200,粵菜 (廣東)/點心/中式包點/中菜館/少鹽少糖食店,新派餐廳，主打注入創新元素的港式點心，推薦「睇住流奶」和「一籠八戒」等。,中環德輔道中173號南豐大廈2樓1-2號舖
周記點心,Chau Kee,4,$50以下,粵菜 (廣東)/港式/點心/茶餐廳/冰室,這裡的西多士並非普通西多士，是流沙西多士，有奶黃、芝麻和芋泥三款味可選，非常邪惡，另芝麻蝦多士也是不錯的選擇。,西環西營盤水街東利大厦地下H1號舖
餃掂手工餃子雲吞專門店,Nom Nom Dumpling,4,$51-100,粵菜 (廣東)/雲吞/餃子/中菜館,以自家煲製的狀元九鼎粉葛湯配餃子。餃子皮薄彈牙，肉汁多。黑白松露、松茸餃子是坊間少見的口味。,灣仔莊士敦道44號地下
鉄人旨花,Shika Teppan-Yaki,4.5,$801以上,日本菜/鐵板燒/壽司/刺身/廚師發辦,日本高級鐵板燒店，燒牛扒、燒海鮮，看著大廚表演即叫即做。,銅鑼灣謝斐道477-481號肇明大廈2樓
心之食堂,Love Cafe,4,$201-400,日本菜/多國菜/壽司/刺身/串燒/居酒屋,創意日式居酒屋，供應多款賣相和配搭同樣出眾的日式料理，例如「邪惡包」是用帶子包鵝肝，「李小龍卷」則有炸蟹鉗配牛油果。,銅鑼灣耀華街3號百樂中心12樓1203室
Sodam Chicken,,4,$101-200,韓國菜/韓式炸雞,韓國連鎖炸雞店旋風式襲港，以炸雞焗雞聞名，配以工業風的裝潢風格和輕快的K POP，讓你感受韓風式的生活。,銅鑼灣耀華街3號百樂中心7樓
Bingo & Cook,,4,$101-200,韓國菜/韓式炸雞,人氣韓式料理，主打炸雞及烤雞，兩者均提供甜辣醬和醬油供食客選擇，炸雞皮脆肉滑，烤雞嫩滑多汁。,銅鑼灣駱克道487-489號駱克駅2樓
漁獲浜燒,Toretore Hamayaki,4.5,$201-400,日本菜,浜燒指將海鮮在岸邊即捕即燒，而這間餐廳亦有三組魚池，裡面有由日本新鮮運到的不同海鮮，讓食客感受日式浜燒滋味。,銅鑼灣軒尼詩道525號澳門逸園中心18樓
Dodam Chicken,,4,$101-200,韓國菜/韓式炸雞,地道口味的韓國炸雞專門店，招牌菜有各款韓式烤焗雞及招牌薄餅。,銅鑼灣波斯富街99號利舞臺廣場18樓A號舖
Seoulmate Cafe,,4,$101-200,韓國菜/多國菜/甜品/糖水/韓式炸雞/樓上cafe,主打創意料理的韓式cafe。招牌菜有外型可愛的「舊Seoulmate雲下的泡菜炒飯」，即蛋白梳乎厘包着泡菜流心蛋炒飯。,銅鑼灣駱克道491-499號京都廣場4樓
鳥居居酒屋,tori izakaya,4,$201-400,日本菜/爐端燒/串燒/居酒屋,提供一系列雞串燒，以來自日本鹿兒島的赤雞製作，另有多款日本清酒。,銅鑼灣軒尼詩道525號澳門逸園中心17樓
極尚大瀛喜日本料理,Deluxe Daieiki Japanese Restaurant,4,$201-400,日本菜/日式放題,日式自助餐餐廳，過百款美食及甜點可無限量任意享用。,銅鑼灣駱克道463-483號銅鑼灣廣場二期11樓
豊勝手丼,Toyo Katte Don,4,$101-200,日本菜/壽司/刺身/居酒屋,專賣日式海鮮丼的小店，勝手丼意指自選刺身蓋飯，食客可按自己喜好挑選不同材料，配搭出自己的海鮮丼。同時亦可選擇定食或師傅發板(omakase)。,銅鑼灣謝斐道468號百達中心地下D號舖
Via Tokyo,,4,$50以下,日本菜/甜品/糖水/雪糕/乳酪,Via Tokyo的抹茶冰淇淋加入了來自京都的抹茶粉及北海道3.6牛乳，濃郁甘香，質地較紮實。,銅鑼灣禮頓道106-126號禮信大廈地下1A-1B號舖
FireBird,,4,$101-200,日本菜/串燒/居酒屋,,銅鑼灣邊寧頓街13號隆堡柏寧頓酒店地下
S2 Kitchen,,4,$401-800,日本菜/壽司/刺身/串燒/居酒屋,以每日限量的海膽杯聞名，一杯用上三分一至半底海膽，其餘製作材料有拖羅蓉及三文魚籽等，另外其海膽燒岩蠔、半生熟安格斯牛肉、清酒鮑魚雞翼、三文魚夾餅創作壽司和紫芋年糕都非常值得一試。,中環威靈頓街51號地下A舖
深宵食堂,,4,$201-400,日本菜/串燒/居酒屋,,銅鑼灣耀華街百樂中心6樓
Shine,,4,$201-400,西式/多國菜/酒/海鮮/扒房,,尖沙咀北京道12A號太子集團中心6樓
芝樂坊餐廳,The Cheesecake Factory,4,$101-200,美國菜/多國菜/漢堡包/All Day Breakfast/西式糕點,來自美國的人氣連鎖餐廳，以芝士蛋糕作為主打。,尖沙咀廣東道25號海港城港威商場地下G102號舖
CHEF STAGE de Eddy Chu,,4,$201-400,西式/多國菜/酒/海鮮,以「西餐大棑檔」的理念經營，將西餐和大排檔兩者特色合二為一。,尖沙咀亞士厘道17-19號19樓
LAB EAT Restaurant & Bar,,4,$201-400,西式/海鮮/酒吧/蠔吧,以「實驗」為主題的餐廳，食物賣相吸引，菜式會不定期更新，更提供多款自家製雞尾酒，適合喜歡「相機食先」的朋友。,尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖
Burgeroom,,4,$51-100,美國菜/漢堡包/快餐店,,尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖
The Captain's House,,4,$201-400,西式/美國菜/海鮮/蠔吧,主打來自美國的海鮮，賣點是以蒸煮方法烹調的海鮮拼盤。,尖沙咀厚福街8號H8 18樓
Day and Nite by Master Kama,,4,$101-200,日本菜/意大利菜/海鮮/日式西餐/樓上cafe,以龍蝦為主題的餐廳，必試招牌有每日新鮮拆肉、約150克波士頓龍蝦製作的龍蝦包。,旺角山東街50號1樓
Espuma,,3.5,$101-200,西班牙菜/多國菜/甜品/糖水/咖啡店/樓上cafe,西班牙風輕食餐廳，主打一系列Tapas、海鮮飯及甜點，咖啡拉花亦甚有心思。,尖沙咀厚福街8號H8 2樓
Sky726,,4,$201-400,法國菜/西式/甜品/糖水,平民價高級法國菜酒吧餐廳，位於25樓頂層，有落地玻璃窗能夠俯瞰繁華旺角景緻。,旺角彌敦道724-726號25樓
樂園,Happyland,4,$101-200,西式/樓上cafe,位於尖沙咀的舒適樓上café，提供各類卡牌遊戲及食品，這裡的怪獸雪糕深受食客喜愛，適合朋友聚會。,尖沙咀北京道65-69號環球商業大廈2樓205-06室
Plato Cafe & Bistro,,4,$101-200,意大利菜/西式/甜品/糖水/All Day Breakfast/咖啡店/樓上cafe,裝橫具美國風格的樓上西餐廳，環境舒適，可從店內玻璃窗眺望彌敦道的街景，招牌菜為德國脆皮咸豬手。,油麻地彌敦道483-485號2樓
Diletto,,4,$401-800,意大利菜/西式/扒房,,尖沙咀漆咸道南11-15號余仁生中心1樓
HeSheEat,,4,$51-100,西式/甜品/糖水/雪糕/乳酪/All Day Breakfast,人氣甜點店，不定期有期間限定產品推出。,旺角白布街22號藝興大廈地下4號舖
彌敦左岸,Nathan Left,4,$201-400,西式/海鮮/薄餅/酒吧,集西餐廳及酒吧於一身，設有一個放滿樂器的舞台，可以一邊用餐一邊欣賞liveband表演。,尖沙咀赫德道5-9號德裕中心地下及1樓
孖啡,Double Cafe,4,$51-100,西式/甜品/糖水/咖啡店/樓上cafe,主打西式風格，其中有以塔羅牌命名的塔羅特飲值得一試，另有多款boardgame可供選擇。,旺角彌敦道577號高氏大樓4樓
Picoso,,4,$51-100,墨西哥菜,,荔枝角長沙灣道883號億利工業中心1樓101室
Caliente,,4,$201-400,墨西哥菜/多國菜,,尖沙咀諾士佛臺6號3樓
Tango Argentinian Steak House,,4,$201-400,阿根廷菜/扒房,,尖沙咀柯士甸道西1號圓方(Elements)3樓R008號舖
Papa Joe,,4,$201-400,墨西哥菜/巴西菜/阿根廷菜/薄餅/沙律/扒房/酒吧,,尖沙咀諾士佛臺1號8樓
Cali-Mex Bar & Grill,,4,$101-200,美國菜/墨西哥菜,,尖沙咀加連威老道14號地舖
Tequila Jack's,,4,$101-200,墨西哥菜,,尖沙咀漆咸道南33-35號友聯大廈地下7-8號舖
Alma Tex-Mex Cuisine,,4.5,$101-200,美國菜/墨西哥菜/薄餅/扒房/酒吧,,佐敦廟街273-275號寶發大廈地下3號舖
Castro's,,3.5,$101-200,古巴菜,,尖沙咀亞士厘道16號1樓
Cali-Mex Taqueria,,3,$101-200,美國菜/墨西哥菜/快餐店,,九龍灣宏照道33號國際交易中心地下
Cafe Sausalito @ Campfire Home,,,$51-100,墨西哥菜,,深水埗九龍道9號地舖
Cali-Mex Bar & Grill,,2.5,$101-200,美國菜/墨西哥菜,,大角咀海輝道18號一號銀海G03號地舖
養心殿台式養生鍋,,4,$201-400,台灣菜/火鍋,餐廳提供多款特色湯頭，推薦寧神養心鍋，含有多種中藥材、鮮雞、豬肉及鮮魚，建議下配料前先喝湯，品嚐湯的鮮甜原味。,旺角彌敦道607號新興大廈1樓106-112號舖
8鍋臭臭鍋,8Pots HK,4,$101-200,台灣菜/火鍋,來自台灣的台式火鍋專門店，有多款不同湯底，大部分食材均由台灣入口。除招牌臭臭鍋外，亦有芝士牛奶鍋及臺式麻辣鍋，全部皆以一人一鍋形式供應。,尖沙咀金巴利道77號地舖
鮮入圍煮,Market Hotpot,4,$201-400,粵菜 (廣東)/火鍋,裝潢特別的火鍋店，令人感覺猶如身處菜巿場。餐廳的食材新鮮、味美，值得一試。,旺角登打士街43H號登打士廣場2樓
御膳,Imperial,4,$201-400,粵菜 (廣東)/海鮮/山珍海味/私房菜,位於工廈的隱蔽中式私房菜館。菜式選擇頗多，海鮮新鮮且份量十足，適合一大班朋友一起分享。,觀塘敬業街65-67號敬運工業大廈12樓F室
壹火鍋,,4,$201-400,粵菜 (廣東)/港式/火鍋/雞煲,,旺角西洋菜街1號兆萬中心16樓
老川皇,,4,$51-100,川菜 (四川)/中菜館,川菜館，大部分菜式都是辣的，程度可自選，水準不錯。,旺角登打士街32號歐美廣場1樓
圓山台灣料理,Grand Hill Taiwanese Restaurant,4,$201-400,台灣菜/山珍海味/湯品/中菜館,,尖沙咀金巴利道25號長利商業大廈1及2樓
酒鍋,The Drunken Pot,4,$201-400,粵菜 (廣東)/火鍋/海鮮,新派火鍋店，裝橫極具格調，選用高級火鍋配料。這裡的特色鍋底大獲好評，如四川麻辣鍋、清酒花甲椰子雞鍋亦非常滋味。,尖沙咀天文台道8號2樓1號舖
六公館,HEXA,4,$201-400,粵菜 (廣東)/中菜館,霓虹燈招牌配上花卉圍繞，店面裝潢有心思。設室外露天座位，可享受維港景色。部分菜式會隨當季當造及節日而變，保證不時不食。,尖沙咀廣東道3-27號海港城海運大廈地下OTE 101號舖
新南苑私房菜火鍋鷄煲,San Nam Yuen,4,$201-400,港式/川菜 (四川)/火鍋/雞煲,任食雞煲火鍋加上新鮮海鮮拼盤，地點方便，推介朋友聚餐。,旺角彌敦道678號華僑商業中心3樓全層
尚素,The Veggie,4,$101-200,粵菜 (廣東)/川菜 (四川)/素食/點心,環境舒適的素食餐廳，主打純素小菜及點心，如黑松露燒賣、麻辣口水素雞及紅燒竹笙燴素翅等。,觀塘駿業街56號中海日升中心1樓B舖
程班長台灣美食,Cheng Banzhang Taiwan Delicacy,3.5,$51-100,台灣菜/粉麵/米線/雲吞/餃子,老闆為移居香港的台灣人，餐廳主打台式美食。,荔枝角長沙灣道883號億利工業中心1樓102室
玉桃軒酒家,The Graces Restaurant,4,$101-200,粵菜 (廣東)/點心/中菜館/酒樓,日間以點心為主，晚市則主打廣東小菜，環境寬敞典雅。,觀塘開源道79號鱷魚恤中心6樓
餃掂手工餃子雲吞專門店,Nom Nom Dumpling,4,$51-100,粵菜 (廣東)/雲吞/餃子/中菜館/咪嘥嘢食店,位於太子的餃子店，內有多款不同特色的餃子，例如龍鳳松茸雙灼餃、芝士餃子等，全都是人手工製。,太子界限街30號地下
樂天經典,Paradise Classic,4,$101-200,粵菜 (廣東)/新加坡菜/海鮮,,大角咀海庭道18號奧海城二期UG樓UG09號舖
百樂小館,Chateh,4,$201-400,潮州菜/酒樓,,尖沙咀彌敦道132號美麗華廣場一期食四方4樓405 號舖
明記潮館,Ming Kee,4,$101-200,潮州菜/海鮮/中菜館,環境新潮的潮州菜館，有傳統打冷小菜，亦有新鮮游水海鮮。餐廳營業至凌晨時份，是旺角的宵夜勝地。,旺角砵蘭街180號砵蘭180+商場3樓
樂天皇朝,Paradise Dynasty,4,$101-200,粵菜 (廣東)/滬菜 (上海)/中式包點/中菜館,來自新加坡的餐廳，招牌的八色小籠包的外皮採用全天然色素製作，有創意之餘又可安心享用。,旺角彌敦道639號雅蘭中心2樓203及205號舖
飲茶,Yum Cha,3.5,$101-200,粵菜 (廣東)/點心/中式包點/中菜館/少鹽少糖食店,「飲茶」出品的菜式在注入玩味元素的同時，也保留傳統。此外，餐廳亦非常重視食物水準，採用新鮮當令食材入饌，且不含味精。「飲茶」適合親朋好友、一家大小、或是生意夥伴共聚和分享美食。,尖沙咀加連威老道20-22號瑞生尖沙咀酒店3樓
唐宮小聚,Social Place,4,$101-200,粵菜 (廣東)/點心/中菜館,主打摩登點心的中菜館，旨在為客人提供一個舒適亦有活力的用餐環境，讓客人在舒適的環境中品嚐時尚健康的中菜。,尖沙咀廣東道30號新港中心3樓303號舖
Yadllie Plate,,4,$101-200,韓國菜/韓式炸雞,主打手工炸雞，採用韓國濟州島栽垃的新鮮蔬菜及廿多種天然材料混製秘製醬汁，及韓國空運到港的韓國雞，口感鮮嫩。,旺角西洋菜街1號兆萬中心11樓
七福神和食亭,,4,$101-200,日本菜/壽司/刺身,位於佐敦的日式料理，有多款刺身及海膽供應，另設特色甜品、原個生果上的「生果雪芭」。,佐敦彌敦道311-313號1樓
Goobne Chicken,,4,$101-200,韓國菜/韓式炸雞,在韓國擁有過千間分店，主打非油炸烤雞。Goobne Chicken出品的烤雞以七種香料醃製最少24小時後再烤，雞肉嫩滑且無油膩感。,尖沙咀赫德道4號The Hart 2樓
小火焰韓式咖啡餐廳,Aidan Korean Dessert Cafe,4,$101-200,韓國菜/甜品/糖水/咖啡店,提供多款以芝士為主的菜式，如溶岩芝士炸雞麵包、溶岩芝士韓醬牛肋麵包及芝士年糕西多士等，適合「芝士迷」。,觀塘觀塘道410號觀點中心1樓1號舖
極尚大喜屋日本料理,Deluxe Daikiya Japanese Restaurant,4,$201-400,日本菜/壽司/刺身/日式放題/咪嘥嘢食店,日式自助餐餐廳，生魚片、壽司等用料上乘，建議提前訂位。,尖沙咀加連威老道2-6號愛賓商業大廈1樓102號舖
Running 燒,Running BBQ,4,$201-400,韓國菜/自助餐/韓燒,韓式燒肉放題店，餐廳名字靈感來自韓國綜藝節目《Running Man》，肉類及韓式料理均有水準。,旺角彌敦道726號9樓
嵐山日本料理,Arashiyama Japanese Restaurant,4,$201-400,日本菜/壽司/刺身/串燒,刺身由日本空運直送，相當鮮甜，手打烏冬亦值得一試。,尖沙咀棉登徑11號地舖
宏,Hiroshi,4,$101-200,日本菜/甜品/糖水/日式西餐,招牌為抹茶甜點，同時也提供飯、麵等美食。,尖沙咀彌敦道100號The ONE 5樓502室
和匠日式燒肉店,Wa Shou Yakiniku,4,$201-400,日本菜/烤肉/串燒,餐廳嚴選高質素日本和牛配搭特別秘製醬汁，食物更香口惹味。更有專人教路，讓食客掌握燒肉技巧，滋味驚喜無限！,佐敦長樂街23-27號德威大廈地下3號舖
阿來泰式地道風味,Aroy Khao Man Gai,4,$51-100,泰國菜,阿來(Aroy)在泰文有好味的意思，而阿來泰式地道風味的泰國廚師亦致力將泰國菜的美味帶給顧客，招牌菜泰式雞飯(Khao Mun Gai)及其他菜式均是水準之作。,旺角通菜街97號地舖
OPPA Coffee Bar Restaurant,,4,$101-200,韓國菜,,尖沙咀金巴利街1號F地鋪
霸嗎拉麵,Ramen Bari-Uma,4,$51-100,日本菜/拉麵,來自日本廣島的拉麵店，主打濃厚湯底及自製麵條，配上灸熱叉燒，味道令人回味無窮。,尖沙咀金巴利道26號地舖
The Joomak,,3.5,$101-200,韓國菜/沙律/居酒屋,餐廳主要以時令健康食材為主，以風靡韓國「酒幕文化」美食為主菜，加上韓籍大廚的熟練刀法及烹飪技巧，定能為每位客人炮製出垂涎三尺的韓食。,尖沙咀廣東道3-27號海港城海運大廈3樓LCX 34號舖
泰廚泰國菜館,Thai Chef Thais Restaurant,4,$101-200,泰國菜/海鮮/咖喱/串燒,對食物品質非常注重和堅持的小店，和牛和海鮮都經過精選，確保新鮮。食材以正宗泰式方法炮製，每道菜都充滿店主的心思。,旺角通菜街126號地下
荳子,Beans,3.5,$101-200,西式/甜品/糖水/All Day Breakfast/咖啡店,位於荃灣的文青風咖啡館，提供義大利麵及各色甜點，以及3D拉花咖啡。,荃灣海壩街99號地下
Chef's Stage Kitchen,,4,$101-200,西式/All Day Breakfast/扒房,,荃灣青山公路荃灣段398號愉景新城1樓1056D&1058號舖
咖啡灣,Cafe Swan,4,$51-100,西式/麵包店/漢堡包/咖啡店/主題餐廳,以「公主」為裝修主題的cafe，主打畫上不同卡通人物和拉花的咖啡。,荃灣眾安街68號荃灣千色匯II期地下G30-G33號舖
